ENSDARG00000042370	1	chr17	-	27971144	27976031	27972332,	27975916,
ENSDARG00000011196	1	chr23	+	30707837	30724909	30707937,30708848,30712101,30712332,30712553,30715415,30715583,30716171,30716338,30718588,30720511,30720804,30721084,30721331,30723523,	30708719,30712028,30712231,30712413,30715293,30715510,30715982,30716253,30718472,30720356,30720735,30721027,30721189,30723394,30723713,
ENSDARG00000028259	1	chr15	-	20830146	20839399	20832910,20833089,20833321,20835210,20836029,20836357,20836519,20838136,20838409,	20832990,20833155,20835069,20835912,20836149,20836437,20837905,20838214,20839194,
ENSDARG00000021899	1	chr14	-	26379484	26392475	26382228,26385158,26385357,26385667,26386269,26391355,	26385054,26385274,26385442,26385940,26391323,26391574,
ENSDARG00000097973	0	chr15	+	46313082	46315233	46313402,	46314824,
ENSDARG00000074552	0	chr11	+	5842663	5852595	5842710,5842946,5843392,5844365,5844585,5847661,5850366,5850554,	5842860,5843356,5844297,5844468,5847482,5850320,5850466,5852387,
ENSDARG00000013251	1	chr18	-	22739732	22753637	22740319,22743366,22743552,22744616,22744922,22747279,22747515,22748118,22748326,22750125,22750892,22751079,	22743221,22743487,22744508,22744728,22747155,22747416,22748051,22748251,22750001,22750765,22750971,22753371,
ENSDARG00000102705	1	chr19	-	33836439	33850201	33836832,33837040,33837199,33839795,33847951,33848197,	33836934,33837138,33839483,33847847,33848058,33849964,
ENSDARG00000036510	1	chr22	+	12161738	12177012	12162664,12163385,12163710,12167449,12167588,12167949,12168568,12171411,12171671,	12163304,12163582,12167389,12167526,12167914,12168523,12171248,12171601,12174420,
ENSDARG00000039365	0	chr13	+	29926094	29936259	29926295,29926526,29926688,29928493,29928744,29930194,29930340,	29926383,29926627,29928369,29928574,29930130,29930280,29935211,
ENSDARG00000100594	1	chr10	+	44581378	44672402	44581988,44641037,44641882,44648173,44648804,44650343,44650983,44652571,44656934,44659696,44663152,44665376,44665648,44666554,44667142,44667422,	44640633,44641743,44647978,44648619,44650172,44650814,44652377,44656796,44659500,44662958,44665185,44665454,44666519,44667028,44667317,44669243,
ENSDARG00000093448	1	chr13	+	281214	285151	281464,282053,282241,282633,	282050,282145,282501,284856,
ENSDARG00000018066	1	chr24	-	25347503	25363815	25353565,25359847,	25359184,25363075,
ENSDARG00000063347	1	chr12	-	4396308	4435303	4396324,4398186,4399387,4402221,4403702,4403945,4404194,4405152,4408538,4408887,4410943,4411136,4411636,4416237,4416472,4418315,4418490,4422683,4423108,4424103,4424424,4424911,4426226,4427478,4428340,4431487,4432670,	4398093,4399315,4402089,4403521,4403780,4404020,4405020,4408423,4408649,4410894,4411029,4411524,4416092,4416343,4418187,4418389,4422450,4422987,4424001,4424197,4424847,4426058,4427309,4428160,4431310,4432609,4435242,
ENSDARG00000045299	1	chr21	-	1618181	1625976	1618890,1622532,1623293,	1622419,1623157,1625724,
ENSDARG00000044956	1	chr23	+	2728095	2745986	2728517,2729044,2730726,2730937,2733310,2733558,2733749,2735458,2736852,2737011,2737746,2740861,2741359,2741462,2742746,	2729013,2730568,2730812,2733251,2733391,2733669,2735335,2736788,2736972,2737679,2740742,2741292,2741435,2742622,2745612,
ENSDARG00000040180	1	chr20	+	2669017	2679598	2669053,2670104,2670836,2673221,2675058,2676074,2676568,	2669927,2670677,2673069,2674992,2675898,2676434,2679393,
ENSDARG00000007601	1	chr11	-	18560667	18604317	18562821,18566850,18569010,18569193,18569482,18572809,18575390,18577296,18577908,18580341,18586166,18586338,18586473,18586646,18586821,18587724,18589564,18592150,18593889,	18566611,18568932,18569113,18569295,18572309,18574824,18577141,18577780,18579854,18586051,18586261,18586418,18586559,18586729,18587611,18589343,18591999,18593822,18603987,
ENSDARG00000009657	1	chr4	+	1722899	1730920	1722927,1725266,1726605,1726820,1728713,	1725130,1726488,1726678,1728600,1729976,
ENSDARG00000019406	0	chr7	+	756942	763406	757034,761643,	761239,761863,
ENSDARG00000030945	0	chr15	-	16123147	16177603	16124245,16125903,16126947,16127236,16130091,16130288,16133010,16133280,16133473,16136102,16136311,16136576,16139049,16139353,16142090,16142492,16144159,16144348,16147775,16148373,16149542,16149824,16150333,16153342,16155839,16156556,16156835,16161591,16161819,16167233,16167447,16167650,16169704,16170732,16171521,16173399,16173536,16176125,16176365,	16125769,16126846,16127115,16129956,16130178,16132924,16133100,16133352,16135947,16136190,16136394,16138950,16139147,16141933,16142195,16143960,16144249,16147585,16148153,16149424,16149622,16150142,16152310,16155634,16156292,16156648,16161473,16161683,16167166,16167323,16167527,16169512,16170672,16171403,16173255,16173487,16175999,16176231,16177315,
ENSDARG00000099499	1	chr3	-	20947560	20957083	20950585,20953051,20953612,20956939,	20952991,20953524,20956864,20957076,
ENSDARG00000005775	1	chr23	-	27251626	27345425	27253452,27253825,27254018,27254249,27254389,27254777,27262806,27274268,27275075,27275310,27279703,27283714,27285431,27288303,27290331,27293412,27294817,27297026,27301997,27303910,27305304,27310581,27314930,27315110,27318214,27336383,	27253555,27253914,27254112,27254336,27254493,27262684,27274095,27274921,27275193,27279233,27283358,27285258,27288065,27290196,27293140,27294533,27296820,27301856,27303847,27305080,27310490,27314802,27315021,27318096,27336052,27345197,
ENSDARG00000028088	1	chr12	-	33790121	33805366	33790313,33794744,33795078,33797737,33798564,33800116,33803112,	33794582,33794928,33797556,33798429,33799997,33802923,33804973,
ENSDARG00000057013	1	chr2	-	44049147	44183451	44049305,44056511,44066235,44071104,44076383,44079478,44082573,44093877,44101410,44182114,	44056386,44066215,44070932,44076293,44079308,44082436,44093725,44101261,44181924,44183257,
ENSDARG00000088316	1	chr19	-	33828976	33835396	33829087,33831423,33832839,33833591,33833871,33834033,33834432,	33831244,33832738,33833520,33833676,33833961,33834306,33835168,
ENSDARG00000073707	1	chr21	-	25425964	25522906	25426078,25429127,25440297,25444982,25447125,25449506,25450750,25451003,25452446,25452726,25455894,25459039,25459363,25460847,25463370,25463610,25466200,25470160,25476606,25484506,25492985,	25428928,25439775,25444879,25447058,25449435,25450677,25450828,25452395,25452527,25455805,25458849,25459230,25460701,25463302,25463551,25466081,25470119,25476519,25484304,25492822,25522447,
ENSDARG00000100083	1	chr1	+	27977297	28020042	27977653,27980079,27984885,27993255,27994845,27994967,27995414,27995614,28001904,28006194,28016760,	27979989,27984816,27993185,27994792,27994939,27995395,27995518,28001797,28006104,28016588,28018647,
ENSDARG00000030335	1	chr6	+	52247993	52256744	52249111,	52252730,
ENSDARG00000037429	1	chr1	-	20733102	20826023	20734331,20736281,20739119,20741993,20752629,20759479,20759778,20763688,20763975,20764659,20766972,20767193,20767485,20770807,20771008,20773650,20788614,20788865,20792864,20800085,20824615,	20736031,20738906,20741866,20752504,20759299,20759618,20763563,20763780,20764514,20766856,20767091,20767370,20770683,20770903,20773472,20788497,20788695,20792784,20799975,20824181,20825812,
ENSDARG00000008380	1	chr7	+	37742299	37755346	37742425,37744099,37744300,37744440,37746470,37746701,37747119,37749243,37749415,37749917,37751276,37752043,37752270,37754331,37754749,37755099,	37743903,37744177,37744383,37746326,37746591,37746935,37749132,37749340,37749810,37751141,37751932,37752214,37754235,37754606,37754962,37755197,
ENSDARG00000020201	0	chr2	+	11946554	12003175	11946685,11957296,11960499,11960657,11960871,11961064,11965412,11969461,11970239,11971792,11984618,11990608,11991227,11993510,11997841,11998063,	11957191,11960430,11960595,11960819,11960976,11965199,11969363,11970161,11971728,11984561,11990573,11991140,11993349,11997741,11997922,12002218,
ENSDARG00000021220	1	chr17	-	24855384	24866964	24856699,24858989,24861336,24861610,24863957,24864193,24866294,	24858864,24861084,24861466,24863858,24864086,24866205,24866564,
ENSDARG00000053344	1	chr8	-	43814821	43835603	43817003,43820053,43822825,43823218,43826309,43826445,43826623,43834322,	43819961,43822784,43823092,43826218,43826379,43826557,43834169,43835452,
ENSDARG00000096156	1	chr4	-	11099041	11106856	11099241,11099420,11099642,11099823,11100026,11100191,11100405,11101018,11101335,11101740,11101977,11102658,11103104,11103909,11104327,11106184,	11099358,11099580,11099761,11099949,11100135,11100346,11100935,11101117,11101426,11101906,11102356,11102787,11103595,11104019,11105876,11106595,
ENSDARG00000069827	1	chr9	-	22098575	22099536	22098993,22099338,	22099096,22099424,
ENSDARG00000058597	0	chr16	-	7216806	7239508	7217533,7220010,7220274,7221668,7221866,7222019,7223623,7227021,	7219810,7220112,7221579,7221781,7221973,7223554,7226923,7239167,
ENSDARG00000076160	1	chr4	+	40835393	40839221	40835453,40836246,40836519,40836781,40837032,40837256,40837505,40837909,40838167,40838474,	40836022,40836371,40836639,40836875,40837139,40837383,40837761,40837991,40838266,40838555,
ENSDARG00000043912	0	chr20	+	812012	823276	812363,814251,816118,818712,	814012,815652,818578,822905,
ENSDARG00000088571	1	chr16	+	5202042	5231397	5202666,5205203,5216737,5221957,5223064,5224442,	5205036,5216483,5221505,5222985,5223155,5230396,
ENSDARG00000089645	1	chr24	-	33288455	33291784	33289141,33290337,33290650,	33290236,33290540,33291519,
ENSDARG00000094524	1	chr1	+	56972616	56981521	56972648,56972958,56974090,56974428,56981287,	56972889,56973740,56974189,56981030,56981414,
ENSDARG00000063311	1	chr16	+	5184402	5199333	5184508,5188125,5190372,5190626,5193219,5193908,5196849,	5187406,5190148,5190468,5193151,5193345,5196226,5199223,
ENSDARG00000095946	1	chr16	-	7202082	7214513	7203643,7208257,7208758,7209696,7212581,7212889,	7208089,7208442,7209528,7212304,7212721,7214354,
ENSDARG00000036994	1	chr3	+	18447574	18502030	18447778,18448395,18469009,18470532,18473195,18476356,18486286,18487440,18490714,18493895,	18447984,18468821,18470385,18473031,18476208,18486152,18487254,18490535,18493749,18498105,
ENSDARG00000004953	1	chr1	-	7574447	7582859	7574671,7575004,7575608,7577418,7579412,7579616,7579778,7580866,7581080,7581328,7581964,	7574756,7575532,7577260,7579271,7579494,7579700,7580668,7580942,7581174,7581827,7582577,
ENSDARG00000117163	1	chr4	-	30409750	30422325	30410604,30421733,	30421584,30422235,
ENSDARG00000087835	0	chr15	-	8314932	8319988	8316313,	8319556,
ENSDARG00000071037	0	chr17	+	23926796	23935450	23927002,23930302,23932114,	23929578,23931992,23933613,
ENSDARG00000030156	0	chr24	-	36303637	36316104	36305417,36308261,36308776,36311303,36311628,36312090,	36307534,36308520,36311218,36311482,36311943,36315593,
ENSDARG00000031283	1	chr19	-	9460432	9472893	9461888,9462830,9470579,9471135,	9462779,9470421,9471006,9472350,
ENSDARG00000039501	1	chr5	+	69856180	69865574	69856973,69861427,69863016,69864890,69865187,	69861279,69862885,69864803,69864968,69865265,
ENSDARG00000042807	1	chr8	+	24745041	24779395	24745334,24747936,24756449,24756685,24756902,24757137,24760145,24767066,24773282,	24747830,24756317,24756553,24756759,24756976,24759576,24766855,24773189,24778145,
ENSDARG00000076499	1	chr1	-	25897231	25911901	25898913,25900704,25901840,25902158,25904491,25905518,	25900599,25901758,25902045,25904357,25905426,25911116,
ENSDARG00000061194	1	chr12	-	16332416	16380961	16333133,16333354,16333558,16347411,16348968,16349204,16354384,16357362,16359345,16361168,16361639,16364380,16364638,16367698,16376831,16377001,16377228,16377905,16378124,16379067,	16333211,16333443,16347305,16348881,16349130,16354226,16357274,16359213,16361061,16361543,16364257,16364490,16367589,16376786,16376937,16377139,16377803,16377986,16378938,16380165,
ENSDARG00000090889	1	chr14	+	36889893	36893215	36890024,36890425,36890632,36892711,	36890396,36890542,36892566,36892879,
ENSDARG00000023053	1	chr2	-	23295415	23349116	23297078,23298843,23300233,23300444,23300899,23303734,23306791,23308610,23312369,23319712,23322563,23322774,23325033,	23298732,23300126,23300334,23300753,23303547,23306629,23308506,23312254,23319548,23322449,23322646,23324903,23349007,
ENSDARG00000097406	0	chr25	+	21517551	21523943	21518869,	21519918,
ENSDARG00000095704	1	chr22	+	2364835	2370086	2365234,	2367673,
ENSDARG00000031420	1	chr25	-	15178225	15214161	15178812,15182385,15184864,15185097,15187251,15195278,15202704,15207996,	15182293,15184775,15184950,15187152,15195195,15202602,15207874,15213617,
ENSDARG00000058231	1	chr1	-	31809185	31856622	31809570,31813387,31814830,31817606,31818356,31818848,31821253,31821379,31823539,31823676,31830375,31831097,31834002,31834184,31834412,31846983,31853565,	31813211,31814770,31817555,31818186,31818782,31821146,31821338,31823456,31823623,31830282,31831040,31833911,31834089,31834295,31846910,31853442,31856499,
ENSDARG00000105068	0	chr3	+	36424055	36425851	36424177,36424895,36425054,	36424736,36424987,36425140,
ENSDARG00000035427	0	chr5	-	33275150	33281156	33275997,33277720,33278022,33280704,	33277641,33277819,33280606,33280888,
ENSDARG00000061864	1	chr12	+	22404108	22445061	22404171,22406314,22407927,22409395,22410218,22412386,22412681,22415996,22416176,22418366,22420240,22420705,22424048,22426762,22427108,22429190,22429769,22431415,22433429,22435011,22435223,22435410,22437163,22438974,22439252,22443836,22444071,	22406234,22407829,22409247,22410003,22412180,22412466,22415790,22416069,22418262,22420162,22420566,22423944,22426649,22427022,22429059,22429551,22431194,22433211,22434873,22435108,22435306,22437029,22438831,22439073,22443720,22443922,22444295,
ENSDARG00000070959	0	chr19	+	9455218	9460322	9455358,	9457846,
ENSDARG00000070127	1	chr23	+	43870932	43929041	43871014,43875793,43876191,43889734,43889953,43892031,43896889,43897083,43898177,43899368,43899787,43900070,43907000,43911064,43917136,43919375,43921048,43923393,43924623,43925810,43926502,43927676,	43875667,43876015,43889622,43889823,43891853,43896728,43896983,43898063,43899244,43899665,43899980,43906880,43910905,43917045,43919354,43920911,43923227,43924554,43925706,43926416,43927623,43928415,
ENSDARG00000002508	1	chr6	+	39279104	39286029	39279385,39280345,39282821,39283200,	39279953,39282692,39283060,39284841,
ENSDARG00000062562	1	chr15	+	8335600	8382997	8335936,8337866,8376701,8377915,8379323,	8336630,8376582,8377779,8379256,8381459,
ENSDARG00000041429	0	chr18	-	18995594	19006634	18995854,18997351,18997554,18998935,18999175,19001051,19001361,19001591,19002794,19003938,19004306,	18997286,18997436,18998802,18999031,19000959,19001219,19001473,19002639,19003831,19004026,19005833,
ENSDARG00000088885	0	chr15	+	46329149	46336399	46329981,46330160,46331088,	46330063,46330492,46335907,
ENSDARG00000096187	1	chr4	-	11112580	11122638	11112626,11113457,11113774,11114164,11114788,11115535,11115935,11116328,11116721,11117296,11117656,11120287,11121587,	11113374,11113556,11113850,11114498,11115218,11115612,11116014,11116428,11116991,11117372,11119979,11121372,11122316,
ENSDARG00000094425	0	chr18	+	27821856	27822787	27821888,	27822227,
ENSDARG00000059354	0	chr19	-	798589	808265	799241,801383,803055,803683,805621,	801118,802837,803489,805349,808072,
ENSDARG00000076014	1	chr4	+	8213063	8515824	8213357,8233997,8260060,8263245,8264744,8269243,8271165,8289533,8296672,8306077,8317004,8336521,8354431,8376526,8448551,8475304,8492213,	8233142,8259644,8263171,8264589,8269076,8270998,8289396,8296532,8305937,8316811,8336386,8354300,8376366,8448404,8475206,8492028,8515687,
ENSDARG00000056680	1	chr14	+	24215046	24221965	24215256,24217631,24218122,	24217489,24217911,24220134,
ENSDARG00000086327	0	chr5	+	15667874	15817204	15668473,15759702,15771999,15776710,15776856,15777081,15786223,15794715,15801012,15802072,15802262,15805139,	15759568,15771910,15776636,15776830,15777031,15786149,15794577,15800690,15801884,15802158,15805011,15807118,
ENSDARG00000026871	1	chr1	-	22647756	22652424	22648211,22648450,22648626,22648767,22649109,22650308,22651470,22651820,	22648392,22648557,22648720,22649024,22650173,22651342,22651809,22651931,
ENSDARG00000025346	0	chr25	+	21716263	21743922	21716321,21724877,21725051,21726823,21735279,21737084,21738580,21738994,21739169,21741231,21741482,	21724667,21724963,21726741,21735188,21736974,21738448,21738927,21739073,21741189,21741308,21743577,
ENSDARG00000098876	1	chr4	-	30428468	30440116	30430293,	30439967,
ENSDARG00000075556	1	chr17	+	28005763	28071945	28006179,28052603,28065352,	28049481,28065166,28067346,
ENSDARG00000033466	1	chr5	+	37087583	37095460	37087772,37091814,37092076,37093439,	37091630,37091905,37093337,37094756,
ENSDARG00000055610	0	chr20	-	26572456	26624042	26572764,26573498,26573651,26573861,26574273,26576387,26578938,26583547,26584015,26584166,26584868,26585031,26586113,26587947,26594409,26594625,26596597,26598064,26599553,26599750,26601245,26601893,26610490,26610691,26613551,26616383,26617530,	26573439,26573590,26573739,26574218,26576246,26578822,26583481,26583954,26584107,26584788,26584970,26585992,26587790,26594341,26594501,26596493,26597946,26599451,26599669,26601100,26601813,26610366,26610578,26613425,26616207,26617402,26623950,
ENSDARG00000056065	1	chr8	-	27630692	27656765	27630753,27632667,27632844,27633339,27634769,27636133,27636371,27637986,27638325,27638547,27639635,27642657,27642918,27643178,27644558,27644798,27648622,27650075,27650941,27655100,27656443,	27632558,27632756,27633214,27634698,27635942,27636254,27637884,27638227,27638450,27639538,27642490,27642771,27643002,27644404,27644639,27648488,27649826,27650703,27654910,27656338,27656531,
ENSDARG00000090194	0	chr8	+	24740013	24744290	24740209,24740361,24741105,	24740300,24740988,24743548,
ENSDARG00000038359	0	chr7	+	57108823	57134010	57109372,57109593,57113201,57113360,57113503,57115458,57115585,57116448,57119409,57120178,57120296,57122421,57123530,57126290,	57109488,57113086,57113274,57113477,57115386,57115547,57116366,57119287,57120044,57120255,57122292,57123431,57126209,57129442,
ENSDARG00000040465	1	chr14	-	4084120	4121052	4085056,4091602,4097597,4104860,4106741,4109915,4113031,4113293,	4091559,4097469,4104761,4106704,4109742,4112932,4113201,4120839,
ENSDARG00000101009	1	chr16	+	35535171	35537491	35535368,	35536076,
ENSDARG00000044924	1	chr11	+	15613218	15756385	15613908,15733606,	15733233,15755724,
ENSDARG00000093833	0	chr2	+	27386617	27391558	27387052,27387321,27388807,	27387168,27388635,27390590,
ENSDARG00000062146	1	chr24	+	26997798	27019540	26998254,27001815,27006114,27006359,27006608,27008147,27008376,27008579,27008741,27009036,27009238,27011058,27011226,27013562,27014020,27016878,	27001677,27005967,27006204,27006527,27008011,27008273,27008469,27008688,27008830,27009126,27010813,27011181,27013380,27013890,27016779,27019182,
ENSDARG00000102061	1	chr22	+	24157807	24169089	24158457,	24166832,
ENSDARG00000028066	1	chr11	+	7324704	7341807	7324969,	7339599,
ENSDARG00000068515	1	chr13	-	285874	303137	286177,286326,287230,287422,287937,288713,290572,290822,292418,293330,295822,296861,297091,297347,298104,299330,300228,301309,	286260,287013,287312,287582,288571,290032,290643,292134,293130,295588,296796,296944,297183,298003,298228,300043,301174,303033,
ENSDARG00000060008	1	chr17	-	45501378	45525936	45502933,45505739,45509655,45512036,45512373,45515436,45518252,45520353,	45505657,45509574,45511891,45512247,45515105,45518109,45519701,45525304,
ENSDARG00000095879	0	chr8	+	53080515	53096754	53081199,53082269,53082482,53083231,53083634,53085625,53086529,53087162,53090025,53090281,53091416,53095194,53095576,	53082138,53082402,53083119,53083547,53085564,53086425,53087012,53089790,53090128,53091266,53095004,53095463,53096540,
ENSDARG00000033227	1	chr14	+	36885524	36887063	36885680,36885976,36886159,36886593,	36885947,36886069,36886448,36886759,
ENSDARG00000005616	1	chr21	-	27437867	27443995	27438121,27439668,27439828,27440167,27441797,27442407,27442599,27442878,27443485,27443797,	27439535,27439736,27440036,27441647,27442280,27442507,27442705,27443300,27443594,27443875,
ENSDARG00000013492	1	chr8	-	33132502	33154677	33134063,	33154583,
ENSDARG00000008457	1	chr1	+	40237276	40258430	40237520,40240023,40240230,40242212,40243008,40243238,40248239,40248446,40249402,40252226,	40239941,40240094,40242003,40242889,40243103,40248122,40248327,40249291,40252038,40257549,
ENSDARG00000016038	1	chr18	+	18982077	18995283	18982296,18986218,18986371,18986700,18986855,18987062,18989593,18989797,18992505,18992729,	18986176,18986298,18986536,18986807,18986952,18989466,18989685,18992399,18992598,18994732,
ENSDARG00000105631	1	chr7	-	808916	823495	810006,812137,812324,812520,813230,816615,818230,	811990,812215,812377,813200,816459,818186,823279,
ENSDARG00000069826	1	chr9	-	22116600	22117430	22116907,22117231,	22116989,22117359,
ENSDARG00000078954	1	chr19	-	7249110	7272921	7249979,7250412,7252396,7252904,7258167,7258469,7260643,7263103,7265552,7268038,7270226,7272335,	7250307,7252305,7252863,7258035,7258340,7260483,7263080,7265373,7267885,7269997,7272199,7272887,
ENSDARG00000053194	1	chr14	+	33264398	33268488	33264824,33265054,33265229,33265397,	33264914,33265131,33265337,33267731,
ENSDARG00000070868	0	chr23	+	19977120	19981813	19977326,19977480,19978616,19978898,	19977418,19978539,19978701,19980698,
ENSDARG00000030804	1	chr13	+	6086730	6110023	6086823,6090016,6092148,6096008,6099302,6099698,	6088982,6091968,6095907,6099130,6099606,6109651,
ENSDARG00000002582	1	chr9	-	21034888	21067971	21036588,21041435,21044980,21046241,21055831,21059655,21063725,	21041326,21044916,21046074,21055660,21059554,21063518,21067472,
ENSDARG00000079727	0	chr2	+	27394798	27401105	27394883,27395222,27398717,27400357,	27394983,27398505,27400249,27400439,
ENSDARG00000073948	1	chr8	-	24714733	24730185	24715264,24727730,	24727605,24729948,
ENSDARG00000096528	1	chr1	+	58608978	58613487	58609064,58610052,58610514,	58609885,58610133,58611987,
ENSDARG00000040321	1	chr2	-	55833425	55861351	55834022,55838882,55854052,	55838629,55853658,55861110,
ENSDARG00000094886	1	chr19	+	7938211	7950953	7938290,7940669,7941686,7941826,7942045,7942356,7949955,7950175,	7938888,7941475,7941772,7941921,7942121,7949796,7950065,7950380,
ENSDARG00000036215	1	chr14	+	34501245	34510631	34501459,34501937,34504083,34506637,34506777,34506905,34507187,34507355,34507505,34508147,34508281,34508423,34508784,34509122,	34501875,34504037,34506572,34506749,34506868,34506989,34507282,34507442,34508070,34508227,34508357,34508698,34508967,34510373,
ENSDARG00000039959	1	chr10	+	1396940	1414161	1397465,1399605,	1399393,1412643,
ENSDARG00000074617	1	chr14	+	17329895	17351159	17330053,17332983,17336432,17338336,17340827,17342381,17342644,	17332741,17336356,17338192,17340660,17342304,17342493,17346928,
